Sample,Unique_CDR3_Count
SRR18510100.unmapped.longest_only,1649
SRR18509504.unmapped.longest_only,1510
SRR18509771.unmapped.longest_only,1384
SRR18509317.unmapped.longest_only,1006
SRR18511483.unmapped.longest_only,1884
SRR18510249.unmapped.longest_only,1330
SRR18509996.unmapped.longest_only,999
SRR18510819.unmapped.longest_only,1586
SRR18511030.unmapped.longest_only,1097
SRR18510782.unmapped.longest_only,1721
SRR18511208.unmapped.longest_only,3982
SRR18510844.unmapped.longest_only,1358
SRR18509355.unmapped.longest_only,8326
SRR18509515.unmapped.longest_only,1173
SRR18509447.unmapped.longest_only,1348
SRR18509375.unmapped.longest_only,1042
SRR18510464.unmapped.longest_only,875
SRR18509654.unmapped.longest_only,805
SRR18509199.unmapped.longest_only,1899
SRR18509970.unmapped.longest_only,1417
SRR18509912.unmapped.longest_only,18047
SRR18510132.unmapped.longest_only,1822
SRR18510930.unmapped.longest_only,1020
SRR18509390.unmapped.longest_only,925
SRR18509125.unmapped.longest_only,1344
SRR18510750.unmapped.longest_only,1812
SRR18509559.unmapped.longest_only,3151
SRR18510143.unmapped.longest_only,1029
SRR18510801.unmapped.longest_only,1836
SRR18509782.unmapped.longest_only,1367
SRR18509208.unmapped.longest_only,702
SRR18510521.unmapped.longest_only,2060
SRR18510658.unmapped.longest_only,978
SRR18509215.unmapped.longest_only,559
SRR18510120.unmapped.longest_only,1262
SRR18510472.unmapped.longest_only,897
SRR18511104.unmapped.longest_only,1345
SRR18511094.unmapped.longest_only,1395
SRR18509246.unmapped.longest_only,620
SRR18510638.unmapped.longest_only,1528
SRR18509754.unmapped.longest_only,2265
SRR18511070.unmapped.longest_only,1172
SRR18511103.unmapped.longest_only,1538
SRR18510108.unmapped.longest_only,2208
SRR18509884.unmapped.longest_only,1186
SRR18510016.unmapped.longest_only,1974
SRR18509311.unmapped.longest_only,992
SRR18509148.unmapped.longest_only,862
SRR18509734.unmapped.longest_only,5142
SRR18509776.unmapped.longest_only,1112
SRR18511052.unmapped.longest_only,1080
SRR18510528.unmapped.longest_only,924
SRR18510663.unmapped.longest_only,1284
SRR18509442.unmapped.longest_only,3715
SRR18510161.unmapped.longest_only,1213
SRR18509732.unmapped.longest_only,1538
SRR18510729.unmapped.longest_only,1267
SRR18509250.unmapped.longest_only,1278
SRR18509623.unmapped.longest_only,1298
SRR18510469.unmapped.longest_only,808
SRR18510739.unmapped.longest_only,2483
SRR18511418.unmapped.longest_only,1330
SRR18510676.unmapped.longest_only,1851
SRR18510661.unmapped.longest_only,1634
SRR18509995.unmapped.longest_only,911
SRR18510142.unmapped.longest_only,1293
SRR18509527.unmapped.longest_only,1337
SRR18510816.unmapped.longest_only,1357
SRR18511002.unmapped.longest_only,1148
SRR18510651.unmapped.longest_only,1486
SRR18511098.unmapped.longest_only,959
SRR18510655.unmapped.longest_only,2656
SRR18509162.unmapped.longest_only,4796
SRR18511039.unmapped.longest_only,2353
SRR18509561.unmapped.longest_only,1826
