Sample,Unique_CDR3_Count
matched_SRR18719622.dedup,13859
matched_SRR18719621.dedup,12912
matched_SRR18720298.dedup,9309
matched_SRR18719402.dedup,12125
matched_SRR18719456.dedup,14085
matched_SRR18719377.dedup,16725
matched_SRR18719812.dedup,14361
matched_SRR18720338.dedup,12079
matched_SRR18720260.dedup,14439
matched_SRR18719714.dedup,11307
matched_SRR18719911.dedup,10788
matched_SRR18719894.dedup,20440
matched_SRR18720322.dedup,12078
matched_SRR18719474.dedup,9819
matched_SRR18719677.dedup,11427
matched_SRR18719499.dedup,13448
matched_SRR18719586.dedup,11777
matched_SRR18719364.dedup,15808
matched_SRR18719706.dedup,5016
matched_SRR18719421.dedup,11453
matched_SRR18719642.dedup,13094
matched_SRR18720365.dedup,9688
matched_SRR18719773.dedup,11177
matched_SRR18719950.dedup,19725
matched_SRR18719419.dedup,11817
matched_SRR18720363.dedup,12306
matched_SRR18719446.dedup,10377
matched_SRR18720342.dedup,14075
matched_SRR18719703.dedup,11241
matched_SRR18719525.dedup,13332
matched_SRR18719385.dedup,10898
matched_SRR18719777.dedup,11343
matched_SRR18720112.dedup,12693
matched_SRR18719797.dedup,11661
matched_SRR18719947.dedup,11118
matched_SRR18719755.dedup,11634
matched_SRR18719552.dedup,7699
matched_SRR18720339.dedup,11667
matched_SRR18720133.dedup,13321
matched_SRR18719848.dedup,16604
matched_SRR18719995.dedup,11618
matched_SRR18719600.dedup,11839
matched_SRR18720199.dedup,11570
matched_SRR18719962.dedup,12769
matched_SRR18719378.dedup,21316
matched_SRR18719799.dedup,13865
matched_SRR18720309.dedup,5023
matched_SRR18719368.dedup,14010
matched_SRR18720294.dedup,14490
matched_SRR18719695.dedup,11842
matched_SRR18719495.dedup,13824
matched_SRR18720017.dedup,11469
matched_SRR18720038.dedup,13987
matched_SRR18719480.dedup,14713
matched_SRR18719595.dedup,11059
matched_SRR18719620.dedup,13088
matched_SRR18719925.dedup,12866
matched_SRR18720196.dedup,10092
matched_SRR18719521.dedup,11822
matched_SRR18719913.dedup,8573
matched_SRR18719936.dedup,11704
matched_SRR18720093.dedup,13897
matched_SRR18719531.dedup,15256
matched_SRR18720240.dedup,14450
matched_SRR18720142.dedup,12959
