iter	MultiClass
0	1.094074466
1	1.089444538
2	1.085010108
3	1.081009643
4	1.076263912
5	1.072831747
6	1.069040087
7	1.065779344
8	1.062843834
9	1.059467835
10	1.056431027
11	1.052588207
12	1.049655254
13	1.046565876
14	1.04234136
15	1.039737339
16	1.036789073
17	1.034241813
18	1.032338329
19	1.029627958
20	1.026399321
21	1.023950965
22	1.021572367
23	1.019476651
24	1.017032354
25	1.015066226
26	1.011775524
27	1.009628352
28	1.00702513
29	1.004722485
30	1.002269766
31	1.000471844
32	0.9981109569
33	0.9954856901
34	0.9929042338
35	0.9905869103
36	0.9882664843
37	0.9859404031
38	0.9843381222
39	0.9821281623
40	0.9804825408
41	0.9780463141
42	0.9759910179
43	0.9743894474
44	0.9724998131
45	0.9700956897
46	0.9688936206
47	0.9664847889
48	0.9648398138
49	0.9629979945
50	0.9609862315
51	0.9595196833
52	0.9572931905
53	0.956365924
54	0.9547782212
55	0.9535369061
56	0.9512051344
57	0.9491397422
58	0.9471076798
59	0.9455779373
60	0.9438583504
61	0.9427422253
62	0.9411610287
63	0.9393493681
64	0.9372411652
65	0.9357020004
66	0.934329456
67	0.9327376356
68	0.9313020761
69	0.9295083754
70	0.9283213975
71	0.9265660168
72	0.9253214204
73	0.9240574219
74	0.9224980248
75	0.9209570973
76	0.9198956632
77	0.9185158325
78	0.9169060747
79	0.9147303679
80	0.9126655745
81	0.9112283746
82	0.9093737476
83	0.9082238612
84	0.9066014243
85	0.9050420126
86	0.9041189838
87	0.9029414428
88	0.9014454111
89	0.9002081484
90	0.898708317
91	0.89702542
92	0.8954888065
93	0.8935702209
94	0.8924587202
95	0.8912755895
96	0.8899600081
97	0.8887840022
98	0.887485507
99	0.8859982722
100	0.8840920653
101	0.8827687414
102	0.8811021384
103	0.8796923115
104	0.878100878
105	0.8767439739
106	0.8753228776
107	0.874071758
108	0.8729386419
109	0.8716990104
110	0.8702922491
111	0.8686620626
112	0.8672605357
113	0.8663072872
114	0.8646524903
115	0.8634421733
116	0.8616847128
117	0.8604892632
118	0.8593181589
119	0.8577854355
120	0.8560613595
121	0.8544813853
122	0.8530433442
123	0.8522673445
124	0.8508158904
125	0.8489541123
126	0.847557575
127	0.8467709544
128	0.8459411245
129	0.8447283606
130	0.8434074087
131	0.842114957
132	0.8407339955
133	0.839417978
134	0.8382747107
135	0.837195127
136	0.8360330024
137	0.8353293977
138	0.8341958227
139	0.8326607134
140	0.8318195651
141	0.830299191
142	0.82911386
143	0.8282967074
144	0.8273690914
145	0.8264883722
146	0.8254087205
147	0.8236012567
148	0.8218386309
149	0.8200660359
150	0.8186684025
151	0.8171324388
152	0.8160378662
153	0.8150511898
154	0.8144878743
155	0.8128797893
156	0.8115866202
157	0.8107494153
158	0.809281595
159	0.8083104874
160	0.8067965484
161	0.8054851839
162	0.8047946355
163	0.8036569666
164	0.8022027787
165	0.8008420138
166	0.799377705
167	0.7979886588
168	0.7966491007
169	0.7955408467
170	0.7941602907
171	0.7925587201
172	0.7911072495
173	0.7892171397
174	0.7879028345
175	0.7869675903
176	0.7858367923
177	0.784606024
178	0.7832367775
179	0.7822354253
180	0.780351317
181	0.7789046994
182	0.7775132686
183	0.7763031169
184	0.7748990281
185	0.7733627855
186	0.7718394362
187	0.7704749413
188	0.7687294345
189	0.7672386115
190	0.7660592005
191	0.7649938287
192	0.763396901
193	0.7622895878
194	0.760772566
195	0.7590627419
196	0.7573696063
197	0.7562837159
198	0.754788108
199	0.7531453936
200	0.7523477549
201	0.7510622937
202	0.7499731596
203	0.7486219648
204	0.7472776912
205	0.7460856284
206	0.744526036
207	0.7431366463
208	0.7418555848
209	0.7401662187
210	0.7392359804
211	0.7379821054
212	0.7364766604
213	0.735779105
214	0.7343480472
215	0.7328602114
216	0.7316839475
217	0.7301572777
218	0.7286907498
219	0.7272975175
220	0.7259878663
221	0.7249432897
222	0.723821852
223	0.7224740318
224	0.720859634
225	0.7196902845
226	0.7188212536
227	0.7171292198
228	0.7160445158
229	0.7148771094
230	0.7134019853
231	0.7123462608
232	0.7110578128
233	0.7097638124
234	0.7083807057
235	0.7069840412
236	0.7061331017
237	0.7051785002
238	0.703478103
239	0.7021189702
240	0.7009590735
241	0.7000254875
242	0.6985523695
243	0.6976006349
244	0.6962717946
245	0.695159422
246	0.6939869468
247	0.6933115242
248	0.6920483261
249	0.6910395514
250	0.6895148249
251	0.6880848615
252	0.6865276281
253	0.6853030753
254	0.6840820452
255	0.682783665
256	0.6815370104
257	0.6805333514
258	0.6793346413
259	0.6782397441
260	0.6772740449
261	0.6765429248
262	0.6754834682
263	0.6746512675
264	0.6735266657
265	0.6723524795
266	0.6708017174
267	0.669499635
268	0.6686049654
269	0.6677773706
270	0.666805464
271	0.666077813
272	0.6649566431
273	0.6639826223
274	0.6632493374
275	0.6623402071
276	0.6610300455
277	0.6602845412
278	0.6591045634
279	0.6582530377
280	0.6567948976
281	0.6558288934
282	0.6548479338
283	0.653708213
284	0.6528129159
285	0.6516866908
286	0.6507381266
287	0.6499546428
288	0.6490557736
289	0.6479678698
290	0.6470447157
291	0.6461505009
292	0.6447018867
293	0.6435432933
294	0.6428970738
295	0.6419174396
296	0.6410371289
297	0.6400311392
298	0.6393111489
299	0.6383972832
