iter	Passed	Remaining
0	90	27085
1	119	17799
2	151	14959
3	160	11865
4	176	10410
5	206	10125
6	213	8934
7	221	8080
8	237	7669
9	247	7177
10	261	6865
11	270	6502
12	283	6250
13	295	6035
14	310	5901
15	321	5711
16	332	5529
17	338	5302
18	345	5105
19	353	4945
20	359	4782
21	366	4634
22	378	4562
23	409	4706
24	427	4700
25	437	4608
26	452	4573
27	470	4569
28	495	4626
29	506	4562
30	527	4573
31	542	4544
32	555	4498
33	582	4553
34	600	4543
35	614	4504
36	654	4654
37	667	4602
38	682	4567
39	702	4567
40	722	4562
41	733	4507
42	743	4442
43	759	4416
44	784	4444
45	805	4447
46	835	4498
47	857	4502
48	865	4434
49	877	4387
50	892	4356
51	902	4305
52	915	4264
53	944	4301
54	960	4279
55	970	4229
56	985	4199
57	992	4142
58	1016	4152
59	1024	4099
60	1050	4115
61	1057	4060
62	1073	4036
63	1088	4012
64	1101	3982
65	1123	3983
66	1135	3947
67	1157	3949
68	1178	3946
69	1202	3952
70	1211	3908
71	1234	3910
72	1249	3886
73	1269	3878
74	1279	3837
75	1291	3807
76	1310	3794
77	1323	3767
78	1345	3762
79	1352	3720
80	1362	3683
81	1388	3692
82	1415	3701
83	1426	3667
84	1446	3658
85	1456	3623
86	1485	3637
87	1494	3600
88	1506	3572
89	1527	3563
90	1545	3548
91	1565	3539
92	1584	3526
93	1593	3493
94	1613	3481
95	1628	3460
96	1641	3434
97	1660	3422
98	1682	3415
99	1707	3414
100	1733	3415
101	1749	3395
102	1760	3367
103	1772	3341
104	1785	3315
105	1798	3291
106	1816	3277
107	1833	3260
108	1844	3232
109	1856	3205
110	1862	3171
111	1873	3144
112	1889	3126
113	1897	3095
114	1906	3067
115	1913	3035
116	1919	3001
117	1926	2971
118	1934	2942
119	1941	2912
120	1957	2895
121	1972	2877
122	1990	2863
123	1998	2836
124	2005	2808
125	2014	2781
126	2028	2762
127	2034	2733
128	2041	2705
129	2069	2705
130	2076	2678
131	2097	2670
132	2104	2642
133	2125	2632
134	2132	2606
135	2152	2595
136	2179	2593
137	2199	2582
138	2226	2578
139	2234	2554
140	2245	2531
141	2251	2505
142	2261	2482
143	2274	2464
144	2298	2456
145	2323	2450
146	2340	2435
147	2362	2426
148	2390	2422
149	2403	2403
150	2414	2382
151	2429	2365
152	2457	2360
153	2475	2346
154	2487	2327
155	2514	2321
156	2529	2304
157	2540	2282
158	2557	2267
159	2577	2255
160	2592	2238
161	2606	2220
162	2614	2197
163	2635	2185
164	2652	2169
165	2668	2154
166	2690	2142
167	2713	2131
168	2719	2108
169	2730	2087
170	2749	2074
171	2759	2053
172	2772	2035
173	2793	2022
174	2801	2001
175	2821	1987
176	2833	1969
177	2843	1948
178	2858	1932
179	2879	1919
180	2892	1901
181	2910	1886
182	2925	1870
183	2941	1854
184	2950	1833
185	2960	1814
186	2977	1799
187	3016	1796
188	3031	1780
189	3065	1774
190	3091	1764
191	3107	1748
192	3126	1733
193	3144	1718
194	3158	1700
195	3172	1683
196	3189	1667
197	3210	1653
198	3230	1639
199	3239	1619
200	3261	1606
201	3271	1586
202	3281	1567
203	3286	1546
204	3293	1526
205	3314	1512
206	3320	1491
207	3344	1479
208	3351	1459
209	3362	1440
210	3369	1421
211	3381	1403
212	3392	1385
213	3423	1375
214	3434	1357
215	3446	1340
216	3452	1320
217	3468	1304
218	3499	1294
219	3517	1279
220	3531	1262
221	3545	1245
222	3568	1232
223	3598	1220
224	3610	1203
225	3637	1190
226	3657	1176
227	3674	1160
228	3699	1146
229	3728	1134
230	3736	1115
231	3744	1097
232	3763	1082
233	3776	1065
234	3790	1048
235	3812	1033
236	3823	1016
237	3861	1006
238	3898	995
239	3909	977
240	3921	959
241	3950	946
242	3975	932
243	3988	915
244	3995	896
245	4011	880
246	4018	862
247	4032	845
248	4047	829
249	4056	811
250	4070	794
251	4098	780
252	4114	764
253	4130	747
254	4142	730
255	4154	714
256	4163	696
257	4172	679
258	4179	661
259	4191	644
260	4216	630
261	4227	613
262	4253	598
263	4280	583
264	4290	566
265	4297	549
266	4306	532
267	4315	515
268	4335	499
269	4350	483
270	4360	466
271	4374	450
272	4389	434
273	4398	417
274	4409	400
275	4416	384
276	4430	367
277	4437	351
278	4446	334
279	4454	318
280	4481	303
281	4492	286
282	4501	270
283	4512	254
284	4530	238
285	4542	222
286	4561	206
287	4576	190
288	4587	174
289	4608	158
290	4616	142
291	4630	126
292	4641	110
293	4663	95
294	4675	79
295	4696	63
296	4709	47
297	4743	31
298	4753	15
299	4764	0
