VDJ_sample,VDJ_unique_count,AIRRPORT_unique_count,Shared_sequences
P8,3125,45726.0,0.0
P6,10246,57269.0,32.0
P4,12899,42639.0,18.0
P4,12899,45726.0,2208.0
P4,12899,56586.0,1930.0
P4,12899,42173.0,18.0
P4,12899,52276.0,2045.0
P4,12899,47684.0,32.0
P4,12899,57269.0,46.0
P4,12899,45263.0,32.0
P7,6369,42639.0,9.0
P7,6369,45726.0,5.0
P7,6369,56586.0,25.0
P7,6369,42173.0,6.0
P7,6369,52276.0,24.0
P7,6369,47684.0,22.0
P7,6369,57269.0,22.0
P7,6369,45263.0,620.0
P2,52238,42639.0,63.0
P2,52238,45726.0,62.0
P2,52238,56586.0,2509.0
P2,52238,42173.0,48.0
P2,52238,52276.0,2716.0
P2,52238,47684.0,90.0
P2,52238,57269.0,3494.0
P2,52238,45263.0,98.0
P3,5055,,
P1,5654,42639.0,9.0
P1,5654,45726.0,7.0
P1,5654,56586.0,19.0
P1,5654,42173.0,5.0
P1,5654,52276.0,815.0
P1,5654,47684.0,11.0
P1,5654,57269.0,18.0
P1,5654,45263.0,15.0
P5,7229,52276.0,36.0
